experiment_id,experiment_version,cell_id,task_id,repository,task_type,condition,model,reasoning_effort,repeat,status,terminal_reason,recall_at_3,recall_at_5,ndcg_at_3,returned_set_f1,provider_total_tokens,elapsed_seconds,agent_step_count,wiki_read_count,wiki_tokens,unique_wiki_pages,beyond_entry_reads,gold_seen_any,gold_seen_by_3_source_actions,gold_targeted_any
sympy-10-tasks,2026-09-01-v4,cell-000030,04ba06dd6719ec7d254ffc75b12bba3f4566331632d985653c1f8d172bfd4d90,sympy/sympy,EXPLICIT_LOCATOR_CLUE,DOC-FIRST,gpt-5.6-luna,high,1,succeeded,,1.0,1.0,1.0,0.6666666666666666,57033,34.702,6,1,221,1,0,1,1,1
sympy-10-tasks,2026-09-01-v4,cell-000031,04ba06dd6719ec7d254ffc75b12bba3f4566331632d985653c1f8d172bfd4d90,sympy/sympy,EXPLICIT_LOCATOR_CLUE,NO-DOC,gpt-5.6-terra,low,1,succeeded,,1.0,1.0,1.0,1.0,11304,16.678,0,0,0,0,0,0,0,0
sympy-10-tasks,2026-09-01-v4,cell-000032,04ba06dd6719ec7d254ffc75b12bba3f4566331632d985653c1f8d172bfd4d90,sympy/sympy,EXPLICIT_LOCATOR_CLUE,OPTIONAL,gpt-5.6-terra,low,1,succeeded,,1.0,1.0,1.0,1.0,11446,13.681,0,0,0,0,0,0,0,0
sympy-10-tasks,2026-09-01-v4,cell-000033,04ba06dd6719ec7d254ffc75b12bba3f4566331632d985653c1f8d172bfd4d90,sympy/sympy,EXPLICIT_LOCATOR_CLUE,DOC-FIRST,gpt-5.6-terra,low,1,succeeded,,1.0,1.0,1.0,0.6666666666666666,61795,24.875,3,1,221,1,0,1,1,1
sympy-10-tasks,2026-09-01-v4,cell-000034,04ba06dd6719ec7d254ffc75b12bba3f4566331632d985653c1f8d172bfd4d90,sympy/sympy,EXPLICIT_LOCATOR_CLUE,NO-DOC,gpt-5.6-terra,medium,1,succeeded,,1.0,1.0,1.0,1.0,11309,9.349,0,0,0,0,0,0,0,0
sympy-10-tasks,2026-09-01-v4,cell-000035,04ba06dd6719ec7d254ffc75b12bba3f4566331632d985653c1f8d172bfd4d90,sympy/sympy,EXPLICIT_LOCATOR_CLUE,OPTIONAL,gpt-5.6-terra,medium,1,succeeded,,1.0,1.0,1.0,1.0,23476,13.18,1,0,0,0,0,1,1,0
sympy-10-tasks,2026-09-01-v4,cell-000036,04ba06dd6719ec7d254ffc75b12bba3f4566331632d985653c1f8d172bfd4d90,sympy/sympy,EXPLICIT_LOCATOR_CLUE,DOC-FIRST,gpt-5.6-terra,medium,1,succeeded,,1.0,1.0,1.0,0.6666666666666666,37215,20.313,2,1,221,1,0,1,1,0
sympy-10-tasks,2026-09-01-v4,cell-000037,04ba06dd6719ec7d254ffc75b12bba3f4566331632d985653c1f8d172bfd4d90,sympy/sympy,EXPLICIT_LOCATOR_CLUE,NO-DOC,gpt-5.6-terra,high,1,succeeded,,1.0,1.0,1.0,0.6666666666666666,24444,16.162,1,0,0,0,0,1,1,0
sympy-10-tasks,2026-09-01-v4,cell-000038,04ba06dd6719ec7d254ffc75b12bba3f4566331632d985653c1f8d172bfd4d90,sympy/sympy,EXPLICIT_LOCATOR_CLUE,OPTIONAL,gpt-5.6-terra,high,1,succeeded,,1.0,1.0,1.0,1.0,11584,17.094,0,0,0,0,0,0,0,0
sympy-10-tasks,2026-09-01-v4,cell-000039,04ba06dd6719ec7d254ffc75b12bba3f4566331632d985653c1f8d172bfd4d90,sympy/sympy,EXPLICIT_LOCATOR_CLUE,DOC-FIRST,gpt-5.6-terra,high,1,succeeded,,1.0,1.0,1.0,0.5,72321,25.82,3,1,221,1,0,1,1,1
